Sentence,entity_1_name,entity_1_id,entity_1_type,entity_2_name,entity_2_id,entity_2_type,labels
chloroquine related complete heart block with blindness: case report.,chloroquine,D002738,Chemical,heart failure,D006333,Disease,0
seizure after  @CHEMICAL$  administration in a pediatric patient.,flumazenil,D005442,Chemical,seizure,D012640,Disease,0
the hemodynamics of  @CHEMICAL$  and other vasoactive agents during neuraxial anesthesia for cesarean delivery: findings in six cases.,oxytocin,D010121,Chemical,hypotension,D007022,Disease,0
we emphasize the potential danger in the use of ethambutol and  @CHEMICAL$..,isoniazid,D007538,Chemical,bilateral retrobulbar neuropathy,D009901,Disease,0
these findings suggest that alterations in map kinase-related pathways in the prefronto-striatal circuitries might be involved in the manifestation of  @DISEASE$  in mice.,methamphetamine,D008694,Chemical,aggressive behaviors,D001523,Disease,0
"the results demonstrate that changes in npy expression, including expression in the granule cells and mossy fibres and the loss of vulnerable npy neurons, are present in the pilo model of  @DISEASE$..",pilocarpine,D010862,Chemical,tle,D004833,Disease,0
background: clomiphene citrate ((@CHEMICAL$)) is commonly prescribed for ovulation induction.,cc,D002996,Chemical,thromboembolism,D013923,Disease,0
report of medical research council working party on mild to moderate hypertension.,bendrofluazide,D001539,Chemical,gout,D006073,Disease,0
plasma and liver 15-f(2t)-isop were elevated and reached a plateau after day 2 of vpa treatment compared to control.,valproic acid,D014635,Chemical,liver toxicity,D056486,Disease,0
the possibility of a drug-induced  @DISEASE$  should be considered in the differential diagnosis of visual loss in diabetics.,chlorpropamide,D002747,Chemical,optic neuropathy,D009901,Disease,0
"until now, the test has been focused only on the organic lesion in the coronary artery, and positive dse has indicated the presence of significant fixed coronary artery stenosis.",dobutamine,D004280,Chemical,coronary artery spasm,D003329,Disease,0
we report here the first case of dexatrim (ppa)-induced myocardial injury in a young woman who was using it at recommended doses for weight control.,phenylpropanolamine,D010665,Chemical,myocardial infarction,D009203,Disease,0
all patients received short course of steroids.,atra,D014212,Chemical,erythema nodosum,D004893,Disease,0
dose-effect and structure-function relationships in  @CHEMICAL$  cardiomyopathy.,doxorubicin,D004317,Chemical,myocardial disease,D009202,Disease,0
magnesium levels in patients on  @CHEMICAL$  treatment were unchanged from baseline levels.,lithium,D008094,Chemical,hypothyroid,D007037,Disease,0
