Sentence,entity_1_name,entity_1_id,entity_1_type,entity_2_name,entity_2_id,entity_2_type,labels
"a significant reduction in urinary guanosine 3',5'-cyclic monophosphate (c @CHEMICAL$-p) excretion and a significant increase in renal cortical renin and endothelin-1 contents were also observed in  @CHEMICAL$--mediated nephropathy.",gm,D005839,Chemical,tubular damage,D007674,Disease,0
"although several new anticoagulant drugs are in development, heparin remains the anticoagulant of choice to treat acute thrombotic episodes.",heparins,D006493,Chemical,allergic reactions,D004342,Disease,0
"conclusions: based on the results,  @CHEMICAL$  and s-23121 were teratogenic when administered dermally to pregnant rats as were the compounds administered orally.",s-53482,C106487,Chemical,ventricular septal defects,D006345,Disease,0
"there were no differences in the clinical backgrounds of the patients with and without tdp other than lad and age, which were larger and older in the patients with tdp.",bpd,D015764,Chemical,fatigue,D005221,Disease,0
methods: this was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in malaysia.,methamphetamine,D008694,Chemical,psychotic symptoms,D011605,Disease,0
"in rats with pan nephropathy, administration of rhigf-i increased igf-i and gh receptor gene expression, without altering the steady state level of igf-i receptor mrna.",puromycin aminonucleoside,D011692,Chemical,glomerular hypertrophy,D007674,Disease,0
the patient was successfully treated with intravenous pamidronate on his first admission and with hydrocortisone on the second.,alkali,D000468,Chemical,renal impairment,D007674,Disease,0
"0006, respectively) and in nine patients receiving high daily doses (2600 or 1800 mg/m2) of  @CHEMICAL$  (p=0.",5-fu,D005472,Chemical,hyperammonemia,D022124,Disease,0
it has been suggested that the ectopic hilar granule cells could contribute to the spontaneous seizures that ultimately develop after status epilepticus.,pilocarpine,D010862,Chemical,temporal lobe epilepsy,D004833,Disease,0
"of the 262 patients, 14 (18%) of 76 who had stopped treatment at the time of the study experienced documented adverse effects.",hydroxychloroquine,D006886,Chemical,visual field abnormalities,D014786,Disease,0
forty-one eligible patients were identified: median age 27.,methylprednisolone,D008775,Chemical,neutropenia,D009503,Disease,0
thrombotic complications in acute promyelocytic leukemia during  @CHEMICAL$  therapy.,all-trans-retinoic acid,D014212,Chemical,acute renal failure,D058186,Disease,0
an earlier suggestion of increased lung cancer risk at high levels of  @CHEMICAL$  use in this cohort was not confirmed in this update.,metolachlor,C051786,Chemical,liver cancer,D008113,Disease,0
