Sentence,entity_1_name,entity_1_id,entity_1_type,entity_2_name,entity_2_id,entitty_2_type,labels
" @CHEMICAL$  nephrosis was induced by single intraperitoneal injection of  @CHEMICAL$  (pan, 20 mg/100g bw).",puromycin aminonucleoside,D011692,Chemical,proteinuria,D011507,Disease,0
"minor side effects included nausea (thirteen patients), emesis (eight of the thirteen patients with nausea), clumsiness (evident as  @DISEASE$  in ten patients), and dysphoric reaction (one patient).",ketamine,D007649,Chemical,ataxic movements,D001259,Disease,0
the incidence of cardiotoxicity was not higher in patients with signs of cardiovascular disease than in those without in the pre-treatment evaluation.,cis-platin,D002945,Chemical,atrial fibrillation,D001281,Disease,0
they were followed up during and for 8 weeks after ct.,hbsag,D006514,Chemical,hbv infection,D006509,Disease,0
"conclusions: we have demonstrated an increased risk of vte associated with the use of cpa/ee in women with acne, hirsutism or pcos although residual confounding by indication cannot be excluded.",ethinyl estradiol,D004997,Chemical,venous thromboembolism,D054556,Disease,0
"treatment, given every 21 days for a maximum of three cycles, consisted of paclitaxel by 3-hour infusion followed the next day by a fixed dose of  @CHEMICAL$  (75 mg/m2).",cisplatin,D002945,Chemical,arthralgias,D018771,Disease,0
hemolysis of human erythrocytes induced by  @CHEMICAL$  is related to disruption of membrane structure.,tamoxifen,D013629,Chemical,hemolytic anemia,D000743,Disease,0
"serum samples were pcr amplified with hbv reverse transcriptase (rt) primers, followed by direct sequencing across the tyrosine-methionine-aspartate-aspartate (ymdd) motif of the major catalytic region in the c domain of the hbv rt enzyme.",hbsag,D006514,Chemical,hbv infected,D006509,Disease,0
results: there were more incidents of  @DISEASE$  in subjects treated with  @CHEMICAL$  compared with those not treated with  @CHEMICAL$  (17.,clonidine,D003000,Chemical,bradycardia,D001919,Disease,0
venous discomfort was assessed with a visual analogue scale (vas) 5-15 sec after commencing  @CHEMICAL$  administration using an infusion pump (rate 1000 micrograms.,propofol,D015742,Chemical,pain,D010146,Disease,0
no dose-limiting hematologic toxicity has been seen.,cisplatin,D002945,Chemical,paresthesias,D010292,Disease,0
"conclusion: in patients with risk factors, e.g. regular consumption of alcohol, liver failure is possible when therapeutic doses are ingested.",acetaminophen,D000082,Chemical,hepatotoxicity,D056486,Disease,0
recurrent  @DISEASE$  were treated with diazepam and broad complex tachycardia was successfully treated with adenosine.,zyban,D016642,Chemical,seizures,D012640,Disease,0
little change was observed in the expression of ece-1 mrna and cnp mrna.,tacrolimus,D016559,Chemical,hypertension,D006973,Disease,0
